runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
48805,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48806,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48807,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48810,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48813,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48824,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48826,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48828,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48829,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48832,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48836,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48838,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48839,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48863,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48864,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48865,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48867,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48883,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48885,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48891,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48892,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48893,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48894,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48895,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48897,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48899,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48900,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48901,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48902,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48903,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48935,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48938,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48940,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48943,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48946,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48949,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
